ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S1415-65552017000400569-scl","Avaliação Tecnológica: Uma Proposta Metodológica","Mendes, Marcella Luiza Santos, Melo, Daniel Reis Armond de","Revista de Administração Contemporânea; 21(4); 569-584","Revista de Administração Contemporânea","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552017000400569&lang=pt" 
"S0001-37652017000200491-scl","Looking for attitudes related to amphibian species decline: how are peer-reviewed publications of education activities compared to ecological research?","MORMUL, ROGER P., MORMUL, TAYLA D.S., SANTOS, GUSTAVO M.B., SANTANA, ANA R.A.","Anais da Academia Brasileira de Ciências; 89(1); 491-496","Anais da Academia Brasileira de Ciências","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652017000200491&lang=pt" 
"S1413-99362017000100112-scl","Relações interdisciplinares entre a Ciência da Informação e a Ciência da Comunicação: uma análise a partir de citações, formação das bancas e palavras-chave das teses das áreas","Maricato, João de Melo, Reis, Filipe","Perspectivas em Ciência da Informação; 22(1); 112-132","Perspectivas em Ciência da Informação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362017000100112&lang=pt" 
"S1413-99362017000100170-scl","Evolução da inteligência competitiva com base em estudo métrico de sua literatura","Teixeira, Renata Cristina, Souza, Cristina","Perspectivas em Ciência da Informação; 22(1); 170-185","Perspectivas em Ciência da Informação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362017000100170&lang=pt" 
"S0001-37652017005011107-scl","Scientometric indicators for Brazilian research on High Energy Physics, 1983-2013","ALVAREZ, GONZALO R., VANZ, SAMILE A.S., BARBOSA, MARCIA C.","Anais da Academia Brasileira de Ciências; (ahead); -","Anais da Academia Brasileira de Ciências","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652017005011107&lang=pt" 
"S1516-73132016000300561-scl","A formação de professores em artigos da revista Ciência &amp; Educação (1998-2014): uma revisão cienciométrica","Razera, Júlio César Castilho","Ciência &amp; Educação (Bauru); 22(3); 561-583","Ciência &amp; Educação (Bauru)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000300561&lang=pt" 
"S2236-89062016000300461-scl","Tendências da literatura científica sobre genética de populações de plantas do Cerrado","Souza, Ueric José Borges de, Telles, Mariana Pires de Campos, Diniz-Filho, José Alexandre Felizola","Hoehnea; 43(3); 461-477","Hoehnea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-89062016000300461&lang=pt" 
"S1413-81232016000601727-spa","Produção científica sobre a Política Nacional de Promoção da Saúde","Yamaguchi, Mirian Ueda, Bernuci, Marcelo Picinin, Pavanelli, Gilberto Cezar","Ciência &amp; Saúde Coletiva; 21(6); 1727-1736","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601727&lang=pt" 
"S1413-81232016000601727-scl","Produção científica sobre a Política Nacional de Promoção da Saúde","Yamaguchi, Mirian Ueda, Bernuci, Marcelo Picinin, Pavanelli, Gilberto Cezar","Ciência &amp; Saúde Coletiva; 21(6); 1727-1736","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000601727&lang=pt" 
"S0122-74832016000100005-col","Scientometric analysis of Colombian research on bio-inoculants for agricultural production","Zambrano-Moreno, Diana Corina, Avellaneda-Franco, Laura, Zambrano, Gregorio, Bonilla-Buitrago, Ruth Rebeca","Universitas Scientiarum; 21(1); 63-81","Universitas Scientiarum","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-74832016000100005&lang=pt" 
